chain,group,cbs_code,cbs_name,product_name,barcode,brand,kind,match
ramilevy,food,120160,עופות,שניצל עוף אמיתי ביתי 700 גרם,7290008409582,תנובה גליל שותפות מו,packaged,shared/4
ramilevy,food,120160,עופות,שניצל עוף אמיתי בציפוי מעודן-700 גרם,7290008409551,תנובה גליל שותפות מו,packaged,shared/4
shufersal,food,120160,עופות,צונגו פנקו שניצל עוף טו,7290019205920,",",packaged,shared/4
shufersal,food,120160,עופות,שניצל עוף אמיתי ביתי 700 גרם,7290008409582,תנובה גליל שותפות מו,packaged,shared/4
shufersal,food,120160,עופות,שניצל עוף אמיתי בציפוי מעודן-700 גרם,7290008409551,תנובה גליל שותפות מו,packaged,shared/4
tivtaam,food,120160,עופות,צונגו פנקו שניצל עוף טו,7290019205920,",",packaged,shared/4
tivtaam,food,120160,עופות,שניצל עוף אמיתי ביתי 700 גרם,7290008409582,תנובה גליל שותפות מו,packaged,shared/4
tivtaam,food,120160,עופות,שניצל עוף אמיתי בציפוי מעודן-700 גרם,7290008409551,תנובה גליל שותפות מו,packaged,shared/4
carrefour,food,120170,בשר משומר ומעובד,נקניקיות הודו בקר ריינהולדס 310 גרם,7290012228278,זוגלובק,packaged,shared/4
carrefour,food,120170,בשר משומר ומעובד,נקניקיות עוף1ק זוגלובק,7290000537603,זוגלובק,packaged,shared/4
carrefour,food,120170,בשר משומר ומעובד,נקניקיות צוריסוס wonders 226 גר,7290109580050,זוגלובק 2000,packaged,shared/4
ramilevy,food,120170,בשר משומר ומעובד,נקניקיות הודו בקר ריינהולדס 310 גרם,7290012228278,זוגלובק,packaged,shared/4
ramilevy,food,120170,בשר משומר ומעובד,נקניקיות עוף1ק זוגלובק,7290000537603,זוגלובק,packaged,shared/4
ramilevy,food,120170,בשר משומר ומעובד,נקניקיות צוריסוס wonders 226 גר,7290109580050,זוגלובק 2000,packaged,shared/4
shufersal,food,120170,בשר משומר ומעובד,נקניקיות הודו בקר ריינהולדס 310 גרם,7290012228278,זוגלובק,packaged,shared/4
shufersal,food,120170,בשר משומר ומעובד,נקניקיות עוף1ק זוגלובק,7290000537603,זוגלובק,packaged,shared/4
shufersal,food,120170,בשר משומר ומעובד,נקניקיות צוריסוס wonders 226 גר,7290109580050,זוגלובק 2000,packaged,shared/4
tivtaam,food,120170,בשר משומר ומעובד,נקניקיות הודו בקר ריינהולדס 310 גרם,7290012228278,זוגלובק,packaged,shared/4
tivtaam,food,120170,בשר משומר ומעובד,נקניקיות עוף1ק זוגלובק,7290000537603,זוגלובק,packaged,shared/4
tivtaam,food,120170,בשר משומר ומעובד,נקניקיות צוריסוס wonders 226 גר,7290109580050,זוגלובק 2000,packaged,shared/4
carrefour,food,120180,דגים,פילה דג סול (פוטית) קפוא,7290003069590,דאליאן גואופו אקאטיק,packaged,shared/3
carrefour,food,120180,דגים,פילה סלמון מעושן פרוס מצונן 100 גרם,5901576058585,",",packaged,shared/3
carrefour,food,120180,דגים,קציצות דג אמנון מוקפא 450 גרם,7290000664026,Shondong Tongxing Fo,packaged,shared/3
ramilevy,food,120180,דגים,פילה דג סול (פוטית) קפוא,7290003069590,דאליאן גואופו אקאטיק,packaged,shared/3
ramilevy,food,120180,דגים,קציצות דג אמנון מוקפא 450 גרם,7290000664026,Shondong Tongxing Fo,packaged,shared/3
shufersal,food,120180,דגים,פילה דג סול (פוטית) קפוא,7290003069590,דאליאן גואופו אקאטיק,packaged,shared/3
