date,chain,store_id,barcode,cbs_code,cbs_name,group,product_name,name,manufacturer,quantity,unit_of_measure,unit_qty,is_weighted,price,unit_price,promo_price,promo_min_qty,promo_desc,promo_id,effective_price,price_update,found,source_file,promo_file
2026-09-16,shufersal,290,7290015039246,120190,שימורי דגים ודגים מעובדים,food,רביעית טונה בהירה בשמן וילי פוד 4*160 גר,טונה בשמן צמחי 4*160 גרם,,640.0,100 גרם,גרם,0.0,23.9,3.73,,,,,23.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290015039338,120190,שימורי דגים ודגים מעובדים,food,רביעית טונה במי מלח וילי פוד 4*160 גר,טונה במי מלח4*160ג,,640.0,100 גרם,גרם,0.0,23.9,3.73,,,,,23.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,8004030344938,120190,שימורי דגים ודגים מעובדים,food,שלישיית טונה ריו מרה 3*80 גרם,טונה בשמן זית3*80ג,"בולטון אלימנטרי בע""מ",240.0,100 גרם,גרם,0.0,29.9,12.46,25.0,2.0,2ב50 טונה בשמן זית ריאו מרה 80/65*3,4609270.0,25.0,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,64144090020,120210,שמנים,food,"ספריי שמן PAM בטעם שמן זית 141 מ""ל","תרסיס שמן זית 148 מ""ל",קונגרה,148.0,100 מיליליטר,מיליליטר,0.0,18.9,12.77,14.0,2.0,"2ב28 תרסיס שמן 148 מ""ל",4607582.0,14.0,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,8007270999012,120210,שמנים,food,שמן גרעיני ענבים דורו 1ל,שמן גרעיני ענבים דורו 1ל,,1.0,1ליטר,ליטר,0.0,54.9,54.9,,,,,54.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290002692393,120210,שמנים,food,שמן קנולה עץ הזית 1 ל מועשר,שמן קנולה+ויטמיןE ל1,שמן תעשיות,1.0,1ליטר,ליטר,0.0,16.9,16.9,,,,,16.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000453897,120220,מרגרינה,food,מרגרינה בטעם חמאה שמרית 200 גר,מרגרינה בטעם חמאה 200 גר,"פאקא תעשיות בע""מ",200.0,100 גרם,גרם,0.0,5.5,2.75,,,,,5.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,8719200998018,120220,מרגרינה,food,מרגרינה בטעם חמאה200גרם,מרגרינה בטעם חמאה200גרם,"מיוצר ע\""י יוניליוור ישר",200.0,100 גרם,גרם,0.0,6.9,3.45,,,,,6.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000453880,120220,מרגרינה,food,מרגרינה ללא מלח לאפיה ובישול שמרית 200גר,מרגרינה ללא מלח 200 גרם,"פאקא תעשיות בע""מ",200.0,100 גרם,גרם,0.0,5.5,2.75,,,,,5.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000040974,120240,חלב,food,חלב טרי 2% דל לקטוז 1 ל,חלב טרי 2% דל לקטוז 1 ל,"תנובה בע""מ",1.0,1ליטר,ליטר,0.0,8.3,8.3,,,,,8.3,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290003029815,120240,חלב,food,חלב יטבתה 3% מועשר 2 ליטר,חלב מועשר3% כד 2ל,מחלבת יטבתה,2.0,1ליטר,ליטר,0.0,18.4,9.2,,,,,18.4,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000051352,120240,חלב,food,חלב מלא 3.8% 1ליטר תנובה,חלב מלא 3.8% 1ליטר תנובה,"תנובה בע""מ",1.0,1ליטר,ליטר,0.0,9.1,9.1,,,,,9.1,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290006664532,120250,"לבן, יוגורט ומעדני חלב",food,"דנונה תות 3% 150 מ""ל",דנונה תות 3% 150 גרם,"שטראוס בריאות בע""מ",150.0,100 גרם,גרם,0.0,4.5,3.0,,,,,4.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000043944,120250,"לבן, יוגורט ומעדני חלב",food,יוגורט כדים תנובה 1.,יוגורט בכד 4% 1.5 ל,מחלבת אלון תבור,1.5,1ליטר,ליטר,0.0,21.9,14.6,,,,,21.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000554402,120250,"לבן, יוגורט ומעדני חלב",food,מעדן חלב מלבי גד 160,מלבי 160 גרם,EDNK,160.0,100 גרם,גרם,0.0,7.9,4.94,5.333333333333333,3.0,3ב16 מלבי/מעדן ירח 150-160 גרם,4609224.0,5.333333333333333,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290106520912,120260,שמנת,food,"שמנת לבישול 9% 250 מ""ל","שמנת לבישול 9% 250 מ""ל",מחלבת יטבתה,250.0,100 מיליליטר,מיליליטר,0.0,8.5,3.4,,,,,8.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000058047,120260,שמנת,food,שמנת להקצפה38% תנובה500מ,שמנת להקצפה38% תנובה500מ,"תנובה בע""מ",500.0,100 מיליליטר,מיליליטר,0.0,15.28,3.06,,,,,15.28,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290104728310,120260,שמנת,food,"שמנת עמידה לקצפת 38% 250 מ""ל",שמנתלהקצפה 38% 250 גרם,מחלבת יטבתה,250.0,100 גרם,גרם,0.0,7.64,3.06,,,,,7.64,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290008175173,120270,חמאה,food,"חמאה לל""ת מלח200ג ואליו","חמאה לל""ת מלח200ג ואליו",ואליו אל.טי.די,200.0,100 גרם,גרם,0.0,16.9,8.45,,,,,16.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290116932033,120270,חמאה,food,חמאה מהדרין 200ג תנובה,חמאה מהדרין 200ג תנובה,"תנובה בע""מ",200.0,100 גרם,גרם,0.0,9.9,4.95,,,,,9.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,8719200998032,120270,חמאה,food,מזולה בטעם חמאה 250 גרם,מזולה בטעם חמאה 250 גרם,"מיוצר ע\""י יוניליוור ישר",250.0,100 גרם,גרם,0.0,9.9,3.96,,,,,9.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
